reviewer,date,original_language,content,hospital,clean_for_sentiment,vader_positive,vader_neutral,vader_negative,vader_compound,vader_sentiment,distilbert_label,distilbert_score
Katje Daisy,2021-07,Dutch,"Pain clinic has a great team, especially doctor Crombez is a great doctor, takes as much time as necessary. Only place where you are not a number",UZ Gent,"pain clinic has a great team, especially doctor crombez is a great doctor, takes as much time as necessary. only place where you are not a number",0.23,0.644,0.127,0.6886,positive,negative,0.5319521427154541
Ibrahim,2021-07,English,"I have an appointment for a covid test at 11:30. There are 2 rows 1 for people with an appointment and 1 for people without. There is no clear instructions on how to enter. The row without appointments is moving faster than the row with. There is a couple in front of me with a child, waiting for their turn and it's cold... Much respect for the nurses and everyone doing their best, but the organisation has to be better.",UZ Gent,"i have an appointment for a covid test at 11:30. there are 2 rows 1 for people with an appointment and 1 for people without. there is no clear instructions on how to enter. the row without appointments is moving faster than the row with. there is a couple in front of me with a child, waiting for their turn and it's cold.. much respect for the nurses and everyone doing their best, but the organisation has to be better.",0.099,0.883,0.018,0.785,positive,negative,0.9988279938697815
Anne Claeys,2021-07,Dutch,A lot of work that is disruptive to patients in and around UZ,UZ Gent,a lot of work that is disruptive to patients in and around uz,0.0,0.839,0.161,-0.3182,neutral,negative,0.9703158140182495
Khan Khan,2021-07,English,👍 …,UZ Gent,👍 …,0.0,1.0,0.0,0.0,neutral,positive,0.8993643522262573
Nino Metreveli,2021-07,English,Why on earth would they not have registration machines and receptions in every building! Why do I have to go a building half a kilometer away and stand in a long line with obviously sick and coughing people just to register? And when I come …,UZ Gent,why on earth would they not have registration machines and receptions in every building! why do i have to go a building half a kilometer away and stand in a long line with obviously sick and coughing people just to register? and when i come …,0.0,0.926,0.074,-0.5562,negative,negative,0.9988889098167419
Joelle Segers,2021-07,Dutch,"Too bad you forget the people with no corona! My daughter is still waiting for a redeeming phone call from you, unfortunately she has to wait a long time, her pain does not matter....",UZ Gent,"too bad you forget the people with no corona! my daughter is still waiting for a redeeming phone call from you, unfortunately she has to wait a long time, her pain does not matter..",0.0,0.656,0.344,-0.913,negative,negative,0.986992359161377
Fernand Vanderstichele,2021-07,Dutch,Very friendly radiotherapy staff.,UZ Gent,very friendly radiotherapy staff.,0.538,0.462,0.0,0.5413,positive,positive,0.9996426105499268
David DD,2021-07,Dutch,Top staff. Always good care 🥰🥰👍 …,UZ Gent,top staff. always good care 🥰🥰👍 …,0.672,0.328,0.0,0.9702,positive,positive,0.9995920062065125
Frank Demoor,2021-07,Dutch,Very quiet on a Sunday morning,UZ Gent,very quiet on a sunday morning,0.0,1.0,0.0,0.0,neutral,negative,0.9875856637954712
Derone Cerrone,2021-07,Dutch,"Very good and beautiful hospital and especially the emergency department is pleasant. With friendly people and we try very hard to find out what your medical problem is. And the plus point is that they reassure you. Definitely recommended if you want to visit a pleasant hospital, this is the place to be.",UZ Gent,"very good and beautiful hospital and especially the emergency department is pleasant. with friendly people and we try very hard to find out what your medical problem is. and the plus point is that they reassure you. definitely recommended if you want to visit a pleasant hospital, this is the place to be.",0.344,0.557,0.099,0.9523,positive,positive,0.9998579025268555
moners eluas,2021-07,Dutch,"In this hospital the tests almost always give positive results to healthy people. For example, my mother did a PCR and it came out positive. The next day she went to the Medina clinic in Eeklo, and then it was suddenly negative. I advise people not to visit this hospital. This is a rip off, they are handing out positive tests to raise money. Result: lost plane ticket and money for the scam test. Many false positives scare people.  devil's plan",UZ Gent,"in this hospital the tests almost always give positive results to healthy people. for example, my mother did a pcr and it came out positive. the next day she went to the medina clinic in eeklo, and then it was suddenly negative. i advise people not to visit this hospital. this is a rip off, they are handing out positive tests to raise money. result: lost plane ticket and money for the scam test. many false positives scare people. devil's plan",0.164,0.709,0.127,0.577,positive,negative,0.9947575330734253
Wilson Pauw,2021-07,French,"Very friendly and speak Dutch, Flemish patois of West Flanders and English and explain several times if you do not understand this hospital is perhaps a labyrinth because it is so huge but for my operation I am going to Ghent it is clear and more specialties for surgery etc... I highly recommend",UZ Gent,"very friendly and speak dutch, flemish patois of west flanders and english and explain several times if you do not understand this hospital is perhaps a labyrinth because it is so huge but for my operation i am going to ghent it is clear and more specialties for surgery etc.. i highly recommend",0.188,0.812,0.0,0.8842,positive,positive,0.9993115663528442
Stefaan De Wilde,2021-07,Dutch,Good care.,UZ Gent,good care.,1.0,0.0,0.0,0.7269,positive,positive,0.9998389482498169
